番号,313,;キャラ番号
名前,八神 はやて,;本名
呼び名,はやて,;呼び名
基礎,0,800,;体力
基礎,1,1000,;気力
基礎,2,110,;性耐性
基礎,10,150,;攻撃
基礎,11,150,;防御
基礎,12,50,;敏捷
基礎,13,100,;知性
基礎,20,10000,;射精
基礎,21,10000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,14,;おっとり	
素質,182,;遠隔得意
素質,186,;空中得意
素質,200,;変身能力あり
素質,203,;魔法使い
素質,301,;清純派
フラグ,10,75,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,110,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,41,200,;アウタースーツ
フラグ,42,300,;普通の下着
CSTR,10,八神,;苗字
CSTR,12,斜め分け,
CSTR,13,セミロング,
CSTR,14,セミロング,
CSTR,18,普通,

;衣装の名前
CSTR,9,バリアジャケットＨ,

;髪の色
CSTR,30,茶,
CSTR,31,茶,
;瞳の色
CSTR,32,0//32//88,
CSTR,33,0//32//88,
;肌の色
CSTR,34,肌色,

素質,固有キャラ,1,
