番号,345,;キャラ番号
名前,桜井 眞子,;本名
呼び名,眞子,;呼び名
;-------年齢指定----------------
CSTR,204,大学生,
CSTR,205,実年齢に合わせる,
CSTR,206,実年齢に合わせる,

基礎,0,750,;体力
基礎,1,700,;気力
基礎,2,120,;性耐性
基礎,10,10,;攻撃
基礎,11,10,;防御
基礎,12,10,;敏捷
基礎,13,125,;知性
基礎,20,10000,;射精
基礎,21,10000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,20,;ツンデレ
素質,106,;B敏感
素質,187,;空中苦手
素質,201,;人間
素質,301,;清純派
フラグ,0,1,;最初から幽閉
フラグ,10,25,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,110,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,41,200,;アウタースーツ
フラグ,42,300,;普通の下着
CSTR,10,桜井,;苗字
CSTR,12,目隠れ,
CSTR,13,ロングヘア,
CSTR,14,ロングヘア,
CSTR,18,普通,

;髪の色
CSTR,30,緑
CSTR,31,緑
;瞳の色
CSTR,32,茶
CSTR,33,茶
;肌の色
CSTR,34,肌色

素質,固有キャラ,1

